primary_name,ACTIVITYNAME,ACTIVITYDESCRIPTION,MinimumGuestsNeeded,"MaximumCaponguests
 (Ifanyforthis)","PreferableStartTime
 (IfAny)forthisactivity","PreferableEndTime
 (IfAny)forthisactivity","TotalDuration
 (ResorttoResort)",PricePerPerson,GST,resort_name
Sterling Kodai Lake,Tug of war,The team that manages to pull the other team members over the center line wins this competition.,2pax,Depending on the group,any time,any time,20 mins to 45 mins,It’s a team bulding can not be priced as individual game,18% GST & 5% Service Charges will be added, Sterling Kodai Lake
Sterling Kodai Lake,Human Knot,"Human Knot Human Knot is a great game for encouraging your employees to work together to solve a problem. The game requires good leadership and cooperation to solve the puzzle. Great for: Problem-solving, communication",6+ (even number required),Depending on the group,any time,any time,20 mins to 45 mins,It’s a team bulding can not be priced as individual game,18% GST & 5% Service Charges will be added, Sterling Kodai Lake
Sterling Kodai Lake,Pipe Line,"the total number of people will divided in to two or more groups, they need to pass the ball from person to person through the pipe without dropping the ball, and they will be the winners. If the ball is dropped they have to start from the first",more than 10,Depending on the group,any time,any time,20 mins to 45 mins,It’s a team bulding can not be priced as individual game,18% GST & 5% Service Charges will be added, Sterling Kodai Lake
Sterling Kodai Lake,Caterpillar Race,"the total number of people will divide in to two or more groups, they need to walk like a caterpillar who will finish first they are the winners",6,Depending on the group,any time,any time,20 mins to 45 mins,It’s a team bulding can not be priced as individual game,18% GST & 5% Service Charges will be added, Sterling Kodai Lake
Sterling Kodai Lake,Great escape,"the total number of people will divide in to two or more groups, they need to pass the ring through human chain without dropping it.",.10-20,Depending on the group,any time,any time,20 mins to 45 mins,It’s a team bulding can not be priced as individual game,18% GST & 5% Service Charges will be added, Sterling Kodai Lake
Sterling Kodai Lake,Breaks Cross,In this game rubber mats are palced on a straight track and the team has to line up at the star point. Once the game starts they have to step only on the mat and move by holding thair team members hand and the team should always have a contact with the mat placed on the ground. If the team fails to keep the contact with mat the team has to restart the game and which ever team reaches the end point first will be the winner.,4,Depending on the group,any time,any time,,It’s a team bulding can not be priced as individual game,(18% GST + 5 % SC), Sterling Kodai Lake
Sterling Kodai Lake,Mine Feild,"This game is played between different team with verbal instructions. The challenge is for each blind-folded person to walk from one side of the field to the other, avoiding the ""mines"", by listening to the verbal instructions of their partners.Allow participants a short period (e.g., 3 mins) of planning time to decide on their communication commands, then begin the activity.",6,Depending on the group,any time,any time,15 mins,It’s a team bulding can not be priced as individual game,(18% GST + 5 % SC), Sterling Kodai Lake
Sterling Kodai Lake,Blind fold ball picking Game,In this game there will be 10 balls scattered here and there particepent should take maximum number of balls in given time .,6,Depending on the group,any time,any time,15 min,It’s a team bulding can not be priced as individual game,(18% GST + 5 % SC), Sterling Kodai Lake
Sterling Ooty Elk Hill,Breaks Cross,In this game rubber mats are palced on a straight track and the team has to line up at the star point. Once the game starts they have to step only on the mat and move by holding thair team members hand and the team should always have a contact with the mat placed on the ground. If the team fails to keep the contact with mat the team has to restart the game and which ever team reaches the end point first will be the winner.,4,15,,,,12000 + Taxes,(18% GST + 5 % SC), Sterling Ooty Elk Hill
Sterling Ooty Elk Hill,Mine Feild,"This game is played between different team with verbal instructions. The challenge is for each blind-folded person to walk from one side of the field to the other, avoiding the ""mines"", by listening to the verbal instructions of their partners.Allow participants a short period (e.g., 3 mins) of planning time to decide on their communication commands, then begin the activity.",6,15,,,15 mins,12000 + Taxes,(18% GST + 5 % SC), Sterling Ooty Elk Hill
