primary_name,D-and-E_NAME,D-and-E_DESCRIPTION,minsimumGuestsNeeded,MaximumCapOnGuests,PreferableStartTime,PreferableEndTime,TotalDuration,Priceperperson,GST
Sterling Kodai Lake,Kombai Treck,Trecking -River walk and Bird watching,2pax,6pax,10:00,13:00,3 hrs,500+tax per person,18% GST & 5% Service Charges
Sterling Kodai Lake,Puliyoor,View point with Water falls and Treking,4pax,more then 10pax,10:00,13:00,3 hrs,3000 + taxPer jeep,18% GST & 5% Service Charges
Sterling Kodai Lake,Nature Trip,"you will cover three different areas namely Palangi, Kombai and Puliyur. Jeep included from hotel to hotel",4,7,09:00 AM and 02:00 PM,01:00 PM and 07:00 PM,4 hrs (20 kms ),5000 + Tax per jeep,(18% GST + 5 % SC)
Sterling Kodai Lake,BBQ with Bonfire,Bonfire with BBQ Dinner at Lawn,6,50,19:00,22:00,3 hrs,3000+ tax per person,18% GST & 5% Service Charges
Sterling Kodai Lake,Sun Rise Brekfast,Sun Rise breckfas over looking the lake viwe,2,10,06:45,08:30,,500+tax,18% GST & 5% Service Charges
Sterling Kodai Lake,Candle light dinner,"Bar balcony, Lake view garden, rooftop terrace",2,10,19:30,22:00,,10000+tax ( for Cuple),18% GST & 5% Service Charges
Sterling Kodai Lake,Jeep Ride,Off road Jeep ride to Kombai/Palani vie point/Pallangi view point,2,6,10:00 AM / 09:00 PM,01:00 PM and 11:00 PM,3 hrs,5000++ Per jeep,18% GST & 5% Service Charges
Sterling Kodai Lake,Bonfire,Roof top bonfire with over looking lake,5,50,20:30,22:30,,3000+tax per person,18% GST & 5% Service Charges
Sterling Kodai Lake,Trekking to Vatakanal waterfall,From the resort we need to walk around 2kms,4,15,07:00,18:00,2hrs (4kms),250,(18% GST + 5 % SC)
Sterling Kodai Lake,Dolphin nose,From the resort we need to walk around 4kms,4,15,05:30,08:30,3hrs(8kms),350,(18% GST + 5 % SC)
Sterling Kodai Lake,Bird watching,"It is the observing of birds, fun relaxing activity",2,4,05:00,10:00,5hrs (20kms),750,(18% GST + 5 % SC)
Sterling Ooty Elk Hill,Trekking (soft and Hard),From the resort we need to walk around 5 to 6 km.,2,15,07:00 AM and 04:00 PM,09:00 AM and 06:00 PM,2hrs (6 kms),325,(18% GST + 5 % SC)
Sterling Ooty Elk Hill,Tribal Interaction Tour,We have to explore their culture and traditions,4,5,10:00,14:00,3hrs (25 kms),325,(18% GST + 5 % SC)
Sterling Ooty Elk Hill,E-Cycling Tour,"Navigate scenic trails, taking in the rich flora and fauna of the region . Total 10-15km will be covered during E cycling tour.",1,5,"7.30am , 10.00am , 2.00pm , 4.00pm",6.00pm,10-15km,1000,(18% GST + 5 % SC)
