primary_name,CITYNAME,DITANCEIN,DITSANCEINTIME,PREFERABLEMODEOFTRANSPORT
Sterling Kodai Lake,Madurai,130,3-4 hrs,By Car
Sterling Kodai Lake,Coimbatore,190,4-5 hrs,By Car
Sterling Kodai Lake,Tirunelvely,280,6-7 hrs,By Car
Sterling Kodai Lake,Tiruvnathapuram,350,7-8 hrs,By Car
Sterling Kodai Lake,Bangalore,480,7-8 hrs,By Car
Sterling Kodai Lake,Bangalore,480,9-10 hrs,By Bus
Sterling Kodai Lake,Chennai,600,7-8 hrs,By Car
Sterling Kodai Lake,Chennai,600,9-10 hrs,By Bus
Sterling Ooty Elk Hill,Coimbatore,100,3 hrs,Cab
Sterling Ooty Elk Hill,Mysore,140,5 hrs,Cab
Sterling Ooty Elk Hill,Cochin,280,8 hrs,Volvo buses ( Govt and Private)
Sterling Ooty Elk Hill,Bangalore,300,9 hrs,Volvo buses ( Govt and Private)
Sterling Ooty Elk Hill,Chennai,650,15 hrs,Volvo buses ( Govt and Private)
Sterling Lake Palace Alleppey,Cochin,60 km,1.5 hrs,Car
Sterling Lake Palace Alleppey,Trivandrum,150km,4 hrs,Car
Sterling Lake Palace Alleppey,Thekkady,150km,4 hrs,Car
Sterling Lake Palace Alleppey,Munnar,170km,5 hrs,Car
Sterling Lake Palace Alleppey,Bangalore,611km,11 hrs,Car
Sterling Lake Palace Alleppey,Bangalore,,1.5 hrs,Flight
Sterling Munnar,KodaiKanal,140,4 hrs,Car
Sterling Munnar,Cochin,140,5 hrs,Car
Sterling Munnar,Madurai,165,5 hrs,Car
Sterling Munnar,Coimbatore,180,6 hrs,Car
Sterling Munnar,Bangalore,500,10 hrs,Car
Sterling Munnar,Chennai,565,12 hrs,Train / Car
Sterling Thekkady,Vagamon,55,2 hrs,By Car
Sterling Thekkady,Munnar,100,3 hrs,By Car
Sterling Thekkady,Kumarakom,120,4 hrs,By Car
Sterling Thekkady,Madurai,150,4 hrs,By Car
Sterling Thekkady,Cochin,150,4 hrs,By car
Sterling Manali,Kullu,45,1 hr,Road/Taxi
Sterling Manali,Shimla,241,7 hrs,Volvo/Taxi
Sterling Manali,Chandigarh,302,8 hrs,Volvo/Taxi
Sterling Manali,Leh,450,12 hrs,Road/Taxi
Sterling Manali,Delhi,533,12 hrs,Volvo/Taxi
Sterling Manali,Srinagar,506,15 hrs,Road/Taxi
Sterling Kufri,Chandigarh,120,4 hrs,Car
Sterling Kufri,Delhi,475,9 hrs,Car
Sterling Kufri,Ludhiana,225,6 hrs,Car
