primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Kodai Lake,ENTIRE RESORT,102,14,,0,0,,,,,,,,,
Sterling Kodai Lake,ROOM CAT-1 (Classic),12,10,2,0,0,,278,196,,"No View from the room, only from the block balcony which faces the garden and interiors of the resort",This is 1 room with attached bathroom,N,"2 Adults + 1 kid / 3 Adults (1A or 1C on Sofa bed)","Tea Coffee maker, LCD 32 TV, Mini fridge"
Sterling Kodai Lake,ROOM CAT -2 (Premier),24,2,20,0,0,,281,200,,Garden (Not from the Room),"This is 1 room with attached bathroom, has sofa cum bed",N,"3A or 2A+2C (2A or 1A + 1C on Sofa bed)","Tea Coffee maker, LCD 32 TV, Mini fridge, Oven, Standard Bathroom supplies. Dental Kit and Shaving Kit will be provided"
Sterling Kodai Lake,ROOM CAT-3 (Privilege Suite),56,0,0,0,0,,477,"Bed room : 250 Living room : 150",,Pathway facing from the rooms. Some rooms are garden facing and front of the hotel,"This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed, sofa cum bed can become a bed. Has dining also in same hall as drawing room.",Only 10 rooms,"4A or 3A+1C (2A or 1A + 1C on Sofa bed)","Tea Coffee maker, LCD 32 TV, Mini fridge, Oven, Standard Bathroom supplies. Dental Kit and Shaving Kit will be provided"
Sterling Kodai Lake,ROOM CAT-4 (Family Suite),8,0,0,0,0,,650,"1st bed room - 250 2nd bed room - 400",,Only 2 rooms are lake view,"Combination of 2 bed rooms, 1 having king and 1 queen bed, has 2 washrooms",Y,"6A or 5A+1C (2A or 1A + 1C on Sofa bed)","Tea Coffee maker, LCD 32 TV, Mini fridge, Oven, Standard Bathroom supplies. Dental Kit and Shaving Kit will be provided"
Sterling Kodai Lake,Indulge Suites,18,,,,,,477,,,Resort View,With queen sized bed and a separate living room,N,"Maximum of 2 adults and 1 child","Tea Coffee maker, LCD 32 TV, Mini fridge, Oven, Standard Bathroom supplies. Dental Kit and Shaving Kit will be provided"
Sterling Ooty Elk Hill,ENTIRE RESORT,124,,,,,,,,,,,,,
Sterling Ooty Elk Hill,ROOM CAT -1 (Premiere Rooms),26,26,0,0,0,0,220,150,,"8 - city facing, 18 no view","This is 1 room with attached bathroom, has sofa cum bed",N,"3 adults with ex bed","Tea coffee Maker, LED TV, Room Heaters"
Sterling Ooty Elk Hill,ROOM CAT-2 (Privilege Suite),48,68,0,0,0,0,390,"Bed room : 130 Living room : 220",,"20- city facing, 28 no view","This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed with 1 bath room, sofa cum bed can become a master bed. Has dining also in same hall as drawing room.",N,"4 Adults using a Sofa/Extra bed","Tea coffee Maker, LED TV, Room Heaters"
Sterling Ooty Elk Hill,ROOM CAT-3 (Family Suites),28,10,0,0,0,0,520,"Bed room : 130 X 2 Living room : 220",,"14- city facing, 14 no view","Combination of 2 bed rooms with 2 king size bed has 2 wash-room.",N,"6 adults with Sofa/ extra bed","Tea coffee Maker, LED TV, Room Heaters"
Sterling Ooty Elk Hill,ROOM CAT-4 (Indulge Suite),22,24,0,0,0,0,390,"Bed room : 130 Living room : 220",,"12- City View 10- no view","This has 2 rooms - 1 Bed room + 1 Drawing room with Sofa with 1 bathroom & drawing room.",N,"3 Adults using an Extra bed","Tea coffee Maker, LED TV, French Press, Room Heaters"
Sterling Lake Palace Alleppey,ENTIRE RESORT,58,38,,20,,,,,,,,,,
Sterling Lake Palace Alleppey,ROOM CAT-1 (Heritage Cottage),22,14,,8,,,290,245,,Lagoon View,"Heritage cottage is traditionally built cottages with artificial lake view",Y,"2 Adults + 1 kid","Packaged Water - 2 Bottles (500 ml), Tea Coffee Maker, Hair Dryer, Bathroom Amenities, LED/LCD Television, Wide range of Entertainment Channels, Safe Deposit Locker, Iron and Ironing Board, Air Conditioning"
Sterling Lake Palace Alleppey,ROOM CAT -2 (Lake View Premium),16,14,,2,,,310,150,,Lake View,"Lake view premium rooms are located beside the backwaters with private balcony for each room",Y,"2 Adults + 1 kid","Packaged Water - 2 Bottles (500 ml), Tea Coffee Maker, Hair Dryer, Bathroom Amenities, LED/LCD Television, Wide range of Entertainment Channels, Safe Deposit Locker, Iron and Ironing Board, Air Conditioning"
Sterling Lake Palace Alleppey,ROOM CAT-3 (Lake View Suite),20,10,,10,,,470,252,,Lake View,"Overlooking Alleppey’s stunning backwaters, these suites are the ultimate retreat for you. A perfect blend of vintage designs, plush bedding and range of premium amenities. Supported with bathtubs, elegant shades and ambient lighting, you’re sure to feel like royalty while staying here with one room each",Y,"3 Adults + 1 kid","Packaged Water - 2 Bottles (500 ml), Tea Coffee Maker, Hair Dryer, Bath Tub, Bathroom Amenities, LED/LCD Television, Wide range of Entertainment Channels, Safe Deposit Locker, Iron and Ironing Board, Air Conditioning"
Sterling Lake Palace Alleppey,House Boats,2,2,,NA,,,200,200,,Lake View,"Overlooking Alleppey’s stunning backwaters, these rooms are the ultimate retreat for you. A perfect blend of vintage designs, plush bedding and range of premium amenities. Supported with bathtubs, elegant shades and ambient lighting, you’re sure to feel like royalty while staying here with one room each",Y,"4 Adults","LED/LCD Television, Wide range of Entertainment Channels, Complimentary Packaged Water - 2 Bottles (500 ml), Air Conditioning, Bathroom Amenities (complimentary)"
Sterling Munnar,ENTIRE RESORT,135,73,41,16,16,,,,,,,,,
Sterling Munnar,ROOM CAT-1 (Classic),49,32,11,6,6,,256,200,,Lake View (10) / Garden View (39),"This is 1 room with attached bathroom",N,"3 Adults","LED 43 TV, Tea Coffee maker, Room heater"
Sterling Munnar,ROOM CAT -2 (Premier),32,20,0,0,0,,326,200,,Garden (20),"This is 1 room with attached bathroom, has sofa cum bed",N,"3 Adults","Microwave, Tea Coffee maker, LED 43 TV, Room heater"
Sterling Munnar,ROOM CAT-3 (Indulge rooms),23,2,12,9,9,,256,200,,Lake View (1) / Garden View (22),"This is 1 room with attached bathroom",N,"3 Adults","LED 43 TV, Tea Coffee maker, Room heater"
