primary_name,Month,SeasonType,SpecificDatestobehighlighted,MinTemp,MaxTemp,Snowfall,AdvisableWear
Sterling Kodai Lake,Jan,Peak,1st jan to 31st Jan,8,18,N,Heavy Woolen
Sterling Kodai Lake,Feb,Shoulder,1st Feb to 28th Feb,8,20,N,Heavy Woolen
Sterling Kodai Lake,Mar,Shoulder,1st Mar to 31st Mar,11,22,N,Woolen
Sterling Kodai Lake,Apr,Peak,1st Apr to 30th Apr,12,25,N,Woolen
Sterling Kodai Lake,May,Peak,1st May to 31st May,13,27,N,Woolen
Sterling Kodai Lake,Jun,Peak,1st Jun to 30st Jun,12,20,N,Woolen
Sterling Kodai Lake,Jul,Lean,1st Jul to 31st Jul,12,18,N,Heavy Woolen
Sterling Kodai Lake,Aug,Lean,1st Aug to 31st Aug,12,18,N,Heavy Woolen
Sterling Kodai Lake,Sep,Shoulder,1st Sep to 30th Sep,11,18,N,Heavy Woolen
Sterling Kodai Lake,Oct,2 Seasons,1st Oct to 31st Oct,11,18,N,Heavy Woolen
Sterling Kodai Lake,Nov,Lean,1st Nov to 30th Nov,10,18,N,Heavy Woolen
Sterling Kodai Lake,Dec,Peak,1st Dec to 31st Dec,8,18,N,Heavy Woolen
Sterling Ooty Elk Hill,Jan,2 Seasons,"14th to 17th, 26th - Peak",0,15,N,Heavy Woolen
Sterling Ooty Elk Hill,Feb,Shoulder,,12,25,N,Light Woolen
Sterling Ooty Elk Hill,Mar,Shoulder,31st onwards Peak,12,25,N,Light Woolen
Sterling Ooty Elk Hill,Apr,Peak,Peak Season,20,32,N,Cotton
Sterling Ooty Elk Hill,May,Peak,Peak Season,20,32,N,Cotton
Sterling Ooty Elk Hill,Jun,Peak,Peak Season,20,32,N,Cotton
Sterling Ooty Elk Hill,Jul,Lean,Rainy,14,18,N,Rainy
Sterling Ooty Elk Hill,Aug,Lean,13-17 Peak,16,22,N,Rainy
Sterling Ooty Elk Hill,Sep,Lean,,18,22,N,Rainy
Sterling Ooty Elk Hill,Oct,Shoulder,Dasara Holidays,14,20,N,Light Woolen
Sterling Ooty Elk Hill,Nov,Shoulder,Diwali Holidays,14,20,N,Light Woolen
Sterling Ooty Elk Hill,Dec,2 Seasons,20th to 31 - Peak,14,20,N,Heavy Woolen
Sterling Lake Palace Alleppey,Jan,Peak,01 to 10 Jan,24,32,N,Cotton
Sterling Lake Palace Alleppey,Feb,Shoulder,,24,32,N,Cotton
Sterling Lake Palace Alleppey,Mar,Shoulder,,24,38,N,Cotton
Sterling Lake Palace Alleppey,Apr,Shoulder,,24,38,N,Cotton
Sterling Lake Palace Alleppey,May,Lean,,22,30,N,Cotton
Sterling Lake Palace Alleppey,Jun,Lean,,22,30,N,Cotton
Sterling Lake Palace Alleppey,Jul,Lean,,22,30,N,Cotton
Sterling Lake Palace Alleppey,Aug,2 Seasons,,22,30,N,Cotton
Sterling Lake Palace Alleppey,Sep,2 Seasons,,24,32,N,Cotton
Sterling Lake Palace Alleppey,Oct,Peak,,24,32,N,Cotton
Sterling Lake Palace Alleppey,Nov,Peak,,24,32,N,Cotton
Sterling Lake Palace Alleppey,Dec,Peak,20-31,24,32,N,Cotton
Sterling Munnar,Jan,Peak,1st jan to 31st Jan,8,18,N,Heavy Woolen
Sterling Munnar,Feb,Shoulder,1st Feb to 28th Feb,10,22,N,Light Woolen
Sterling Munnar,Mar,Shoulder,1st Mar to 31st Mar,15,23,N,Light Woolen
Sterling Munnar,Apr,Shoulder,1st Apr to 30th Apr,18,25,N,Light Woolen
Sterling Munnar,May,Peak,1st May to 31st May,20,27,N,Heavy Cotton
Sterling Munnar,Jun,Peak,1st Jun to 30st Jun,19,25,N,Light Woolen
Sterling Munnar,Jul,Lean,1st Jul to 31st Jul,19,25,N,Light Woolen
Sterling Munnar,Aug,Lean,1st Aug to 31st Aug,15,22,N,Light Woolen
Sterling Munnar,Sep,Shoulder,1st Sep to 30th Sep,17,23,N,Light Woolen
Sterling Munnar,Oct,2 Seasons,1st Oct to 31st Oct,17,23,N,Light Woolen
Sterling Munnar,Nov,Lean,1st Nov to 30th Nov,16,23,N,Light Woolen
Sterling Munnar,Dec,Peak,1st Dec to 31st Dec,8,23,N,Heavy Woolen
Sterling Thekkady,Jan,Peak,,10,25,N,Heavy Woolen
Sterling Thekkady,Feb,Peak,,18,27,N,Light Woolen
Sterling Thekkady,Mar,Lean,,22,28,N,Cotton
Sterling Thekkady,Apr,Shoulder,,23,31,N,Cotton
Sterling Thekkady,May,Peak,,23,31,N,Cotton
Sterling Thekkady,Jun,Shoulder,,20,27,N,Light Woolen
Sterling Thekkady,Jul,Lean,,20,26,N,Light Woolen
Sterling Thekkady,Aug,Lean,,21,26,N,Light Woolen
Sterling Thekkady,Sep,Lean,,22,27,N,Light Woolen
Sterling Thekkady,Oct,Peak,,22,27,N,Light Woolen
Sterling Thekkady,Nov,Peak,,13,27,N,Light Woolen
Sterling Thekkady,Dec,Peak,,10,25,N,Heavy Woolen
Sterling Manali,Jan,Lean,01 - 31 Lean,5,-10,Y,Heavy Woolen
Sterling Manali,Feb,Lean,01 - 28 Lean,5,-10,Y,Heavy Woolen
Sterling Manali,Mar,Lean,15 - 31 Peak,10,15,Y / N,Light Woolen
Sterling Manali,Apr,Peak,01 - 30 Peak,20,15,N,Light Woolen
Sterling Manali,May,Peak,01 - 31 Peak,25,15,N,Light Woolen
Sterling Manali,Jun,Peak,01 - 30 Peak,28,15,N,Light Woolen
Sterling Manali,Jul,Lean,01 - 15 Peak / Lean,28,18,N,Cotton
Sterling Manali,Aug,Lean,01 - 31 Lean,28,18,N,Cotton
Sterling Manali,Sep,2 Seasons,01 - 31 Lean,25,18,N,Cotton
Sterling Manali,Oct,Shoulder,01 - 31 Avg. Festivity Season,20,12,Y,Heavy Woolen
Sterling Manali,Nov,2 Seasons,01 - 30 Lean,15,0,Y,Heavy Woolen
Sterling Manali,Dec,Lean,15-31 Peak,10,-5,Y,Heavy Woolen
Sterling Kufri,Jan,2 Seasons,,-3,15,Y,Heavy Woolen
Sterling Kufri,Feb,2 Seasons,,-3,15,Y,Heavy Woolen
Sterling Kufri,Mar,Lean,,12,20,N,Light Woolen
Sterling Kufri,Apr,Shoulder,,18,28,N,Light Woolen
Sterling Kufri,May,Peak,Full Month,20,32,N,Cotton
Sterling Kufri,Jun,Peak,Full Month,20,32,N,Cotton
Sterling Kufri,Jul,Shoulder,,20,32,N,Umbrellas / Raincoats
Sterling Kufri,Aug,Lean,,20,32,N,Umbrellas / Raincoats
Sterling Kufri,Sep,Lean,,18,28,N,Umbrellas / Raincoats
Sterling Kufri,Oct,Peak,Full Month,12,25,N,Light Woolen
Sterling Kufri,Nov,Peak,Full Month,5,20,N,Heavy Woolen
Sterling Kufri,Dec,2 Seasons,21st to 31st Dec,-3,15,Y,Heavy Woolen
Sterling Gir,Jan,Shoulder,Full month,20,25,N,Light Woolen
Sterling Gir,Feb,Lean,Full month,20,25,N,Light Woolen
Sterling Gir,Mar,Shoulder,1-15th,25,35,N,Cotton
Sterling Gir,Apr,Shoulder,full month,25,35,N,Cotton
Sterling Gir,May,Peak,full month,30,40,N,Cotton
Sterling Gir,Jun,2 Seasons,1-15th,30,40,N,Cotton
Sterling Gir,Jul,Lean,full month,25,35,N,Cotton
Sterling Gir,Aug,Lean,full month,25,35,N,Cotton
Sterling Gir,Sep,Lean,full month,25,35,N,Cotton
Sterling Gir,Oct,Peak,16th onwords,25,35,N,Cotton
Sterling Gir,Nov,Peak,Full month,25,30,N,Cotton
Sterling Gir,Dec,Peak,1-15th peak,25,30,N,Cotton
Sterling Lonavala,Jan,Lean,,18,22,N,Normal
Sterling Lonavala,Feb,Lean,,18,22,N,Normal
Sterling Lonavala,Mar,Lean,,18,24,N,Normal
Sterling Lonavala,Apr,Peak,,25,30,N,Normal
Sterling Lonavala,May,Peak,,25,30,N,Normal
Sterling Lonavala,Jun,Peak,,24,26,N,Rainy
Sterling Lonavala,Jul,Peak,,18,22,N,Rainy
Sterling Lonavala,Aug,Peak,,18,22,N,Rainy
Sterling Lonavala,Sep,Peak,,20,24,N,Rainy
Sterling Lonavala,Oct,2 Seasons,,18,20,N,Woolen
Sterling Lonavala,Nov,2 Seasons,,16,20,N,Woolen
Sterling Lonavala,Dec,2 Seasons,,12,20,N,Woolen
Sterling Puri,Jan,Peak,,18,31,No,Light winter wear
Sterling Puri,Feb,Peak,,20,31,No,
Sterling Puri,Mar,Lean,,20,32,No,
Sterling Puri,Apr,Lean,,25,38,No,
Sterling Puri,May,Peak,,25,38,No,
Sterling Puri,Jun,Shoulder,,24,37,No,
Sterling Puri,Jul,Lean,,24,37,No,
Sterling Puri,Aug,2 Seasons,,24,37,No,
Sterling Puri,Sep,Lean,,22,34,No,
Sterling Puri,Oct,Peak,,21,33,No,
Sterling Puri,Nov,Peak,,17,31,No,Light winter wear
Sterling Puri,Dec,Peak,,,,No,Light winter wear
Sterling Kanha,Jan,2 Seasons,23rd - 30th Jan,5,24,N,Heavy Woolen
Sterling Kanha,Feb,2 Seasons,10th - 16th Feb,12,27,N,Light Woolen
Sterling Kanha,Mar,Peak,2nd week onwards,17,39,N,Cotton
Sterling Kanha,Apr,Peak,,22,40,N,Cotton
Sterling Kanha,May,Peak,,25,48,N,Cotton
Sterling Kanha,Jun,Peak,,23,42,N,Cotton
Sterling Kanha,Jul,Lean,,22,30,N,Cotton
Sterling Kanha,Aug,Lean,,20,26,N,Cotton
Sterling Kanha,Sep,Lean,,20,26,N,Cotton
Sterling Kanha,Oct,Peak,2nd - 9th Oct,18,28,N,Light Woolen
Sterling Kanha,Nov,Peak,,7,20,N,Heavy Woolen
Sterling Kanha,Dec,2 Seasons,20th - 31st Dec,2,17,N,Heavy Woolen
Sterling Palavelli Godavari,Jan,Peak,13 - 17 (pongal..high rates they come for cock fights which is 250 meters away only) & 26 long week end,15,25,N,Light Woolen
Sterling Palavelli Godavari,Feb,Shoulder,,15,25,N,Cotton
Sterling Palavelli Godavari,Mar,2 Seasons,,30,35,N,Cotton
Sterling Palavelli Godavari,Apr,Lean,,30,40,N,Cotton
Sterling Palavelli Godavari,May,2 Seasons,,40,45,N,Cotton
Sterling Palavelli Godavari,Jun,2 Seasons,,40,45,N,Cotton
Sterling Palavelli Godavari,Jul,Lean,,30,35,N,Cotton
Sterling Palavelli Godavari,Aug,Lean,13-17 Peak,28,35,N,Cotton
Sterling Palavelli Godavari,Sep,Lean,,28,35,N,Cotton
Sterling Palavelli Godavari,Oct,Peak,all holidays,22,35,N,Cotton
Sterling Palavelli Godavari,Nov,Shoulder,,22,35,N,Cotton
Sterling Palavelli Godavari,Dec,Peak,"all fridays, Saturday, sundays. 24.25.30.31",15,25,N,Light Woolen
Sterling Nature Trails Durshet,Jan,2 Seasons,Guest movement are high on weekend,15.1,29,,Light Woollen
Sterling Nature Trails Durshet,Feb,Lean,Guest movement are high on weekend,17.5,35,,Cotton
Sterling Nature Trails Durshet,Mar,Lean,Guest movement are high on weekend,19.2,36,,Cotton
Sterling Nature Trails Durshet,Apr,Lean,Guest movement are high on weekend,22.6,39,,Cotton
Sterling Nature Trails Durshet,May,2 Seasons,Guest movement are high on weekend,24.9,39.9,,Cotton
Sterling Nature Trails Durshet,Jun,2 Seasons,Guest movement are high on weekend,23.8,40.1,,Cotton
Sterling Nature Trails Durshet,Jul,2 Seasons,Guest movement are high on weekend,24.7,42.5,,Cotton
Sterling Nature Trails Durshet,Aug,Shoulder,Guest movement are high on weekend,23.9,42.7,,Cotton
Sterling Nature Trails Durshet,Sep,Shoulder,Guest movement are high on weekend,21.1,41.9,,Cotton
Sterling Nature Trails Durshet,Oct,Peak,Guest movement are high on weekend,21.4,37.8,,Cotton
Sterling Nature Trails Durshet,Nov,Peak,Guest movement are high on weekend,17.7,36.2,,Cotton
Sterling Nature Trails Durshet,Dec,Peak,24th to 31st,16,30.5,,Light Woollen
Sterling Nature Trails Sajan,Jan,Peak,,14,26,N,Light Woolen
Sterling Nature Trails Sajan,Feb,Peak,,20,34,N,Light Woolen
Sterling Nature Trails Sajan,Mar,Lean,,22,36,N,Cotton
Sterling Nature Trails Sajan,Apr,Lean,,24,40,N,Cotton
Sterling Nature Trails Sajan,May,Lean,,24,41,N,Cotton
Sterling Nature Trails Sajan,Jun,Shoulder,,24,40,N,Cotton
